日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA10,MA20,MA60,EMA12,EMA26,MACD,Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower
2024-03-18,600519,1608.68,1601.94,1613.53,1592.68,26055,4446059130.0,1.29,-0.57,-9.23,0.21,1616.6460000000002,1597.6830000000002,1592.8075000000001,,1598.572385101972,1585.2536321394336,13.318752962538383,12.033696285545291,1.2850566769930918,54.672245467224535,1592.8075000000001,1633.7563280791128,1551.8586719208874
2024-03-19,600519,1596.68,1601.7,1613.62,1586.79,23948,4093701261.0,1.67,-0.01,-0.24,0.19,1609.25,1598.975,1594.7085000000002,,1599.0535566247456,1586.4718816105867,12.581675014158918,12.143292031268018,0.43838298289090005,56.85573685573685,1594.7085000000002,1633.4334960212034,1555.983503978797
2024-03-20,600519,1597.04,1603.28,1607.36,1593.91,15249,2604543856.0,0.84,0.1,1.58,0.12,1605.6799999999998,1601.88,1594.3055,,1599.7037786824772,1587.71692741721,11.986851265267205,12.112003878067856,-0.12515261280065104,54.029142289435896,1594.3055,1632.4653739239902,1556.1456260760096
2024-03-21,600519,1601.78,1602.68,1612.68,1598.18,16596,2839332631.0,0.9,-0.04,-0.6,0.13,1604.154,1604.4170000000001,1593.8365,,1600.161658885173,1588.8253031640834,11.336355721089603,11.956874246672205,-0.620518525582602,56.96578212290503,1593.8365,1631.301843016827,1556.3711569831728
2024-03-22,600519,1598.71,1595.03,1602.67,1581.68,25456,4318592818.0,1.31,-0.48,-7.65,0.2,1600.9260000000002,1607.409,1593.1995000000002,,1599.3721729028387,1589.2849103371143,10.087262565724359,11.582951910482638,-1.4956893447582793,57.336144790019304,1593.1995000000002,1630.0962643567848,1556.3027356432156
2024-03-25,600519,1592.22,1582.69,1592.45,1574.26,24473,4131446237.0,1.14,-0.77,-12.34,0.19,1597.076,1606.861,1592.9010000000003,,1596.8056847639405,1588.7963984602911,8.009286303649333,10.868218789115978,-2.858932485466646,48.14634443294578,1592.9010000000003,1630.0481434900962,1555.7538565099044
2024-03-26,600519,1581.14,1602.97,1606.48,1581.14,28069,4782899074.0,1.6,1.28,20.28,0.22,1597.3300000000002,1603.29,1593.8905,,1597.7540409541034,1589.84629487064,7.907746083463508,10.276124247985486,-2.368378164521978,58.45294117647058,1593.8905,1631.001651664895,1556.779348335105
2024-03-27,600519,1598.68,1594.68,1605.68,1592.68,18113,3087792980.0,0.81,-0.52,-8.29,0.14,1595.6100000000001,1600.645,1594.8629999999998,,1597.281111576549,1590.2043471024442,7.076764474104721,9.636252293209333,-2.5594878191046124,54.956908852234484,1594.8629999999998,1630.9196000090224,1558.8063999909773
2024-03-28,600519,1588.68,1595.32,1611.68,1586.88,24642,4201857059.0,1.56,0.04,0.64,0.2,1594.1380000000001,1599.146,1595.1950000000002,,1596.9794021032337,1590.583284354115,6.39611774911873,8.988225384391212,-2.592107635272482,59.230064161319895,1595.1950000000002,1631.133975470857,1559.2560245291434
2024-03-29,600519,1595.32,1596.58,1604.67,1591.78,13457,2290584417.0,0.81,0.08,1.26,0.11,1594.4479999999999,1597.687,1596.087,,1596.9179556258132,1591.0274855130695,5.890470112743742,8.368674330061719,-2.478204217317977,52.9643990130419,1596.087,1631.1820145507295,1560.9919854492705
2024-04-01,600519,1603.67,1615.01,1627.68,1602.38,27131,4679371035.0,1.58,1.15,18.43,0.22,1600.9119999999998,1598.9940000000001,1598.3385,,1599.7013470679958,1592.803968067657,6.897379000338788,8.074415264117134,-1.177036263778346,39.2183656736813,1598.3385,1632.1351197468907,1564.5418802531094
2024-04-02,600519,1615.68,1607.67,1618.67,1598.73,25449,4360973684.0,1.23,-0.45,-7.34,0.2,1601.852,1599.591,1599.283,1567.5826666666667,1600.9272936729196,1593.905155618201,7.022138054718653,7.863959822237438,-0.8418217675187849,43.24025713137804,1599.283,1633.0106242239149,1565.555375776085
2024-04-03,600519,1627.68,1608.79,1633.12,1603.7,29046,5002390042.0,1.83,0.07,1.12,0.23,1604.6739999999998,1600.142,1601.011,1568.0843333333332,1602.1369408001628,1595.0077366835194,7.12920411664345,7.7170086811186405,-0.5878045644751904,49.15423992877811,1601.011,1632.8209143101833,1569.2010856898166
2024-04-08,600519,1588.68,1560.34,1589.68,1556.28,59167,9907355766.0,2.08,-3.01,-48.45,0.47,1597.6779999999999,1595.908,1600.1625,1567.6286666666667,1595.7066422155224,1592.4397561884439,3.266886027078499,6.826984150310613,-3.5600981232321143,31.50963986904317,1600.1625,1635.3593281316153,1564.9656718683846
2024-04-09,600519,1554.35,1555.9,1566.68,1552.13,25590,4256226333.0,0.93,-0.28,-4.44,0.2,1589.542,1591.9950000000001,1599.702,1567.5156666666667,1589.5825434131343,1589.7331075818925,-0.15056416875813738,5.431474486496863,-5.582038655255,32.64736921453334,1599.702,1637.0076488455786,1562.3963511544214
2024-04-10,600519,1555.95,1541.66,1558.67,1538.68,27631,4562853880.0,1.28,-0.92,-14.24,0.22,1574.872,1587.892,1597.3764999999999,1567.2593333333332,1582.2098444264982,1586.1721366499005,-3.962292223402301,3.5527211445170304,-7.515013367919331,29.530887767625728,1597.3764999999999,1642.655418191932,1552.0975818080676
2024-04-11,600519,1533.79,1541.68,1543.68,1528.37,22766,3736417595.0,0.99,0.0,0.02,0.18,1561.6740000000002,1581.7630000000001,1592.5265,1567.3261666666667,1575.9744837454987,1582.876422823982,-6.901939078483338,1.4617890999169567,-8.363728178400294,28.77325982081318,1592.5265,1639.9085486882407,1545.1444513117592
2024-04-12,600519,1544.68,1527.71,1557.68,1527.71,26744,4403968129.0,1.94,-0.91,-13.97,0.21,1545.458,1575.066,1587.8555000000001,1567.21,1568.5491785538836,1578.7900211333167,-10.240842579433092,-0.8787372359530534,-9.362105343480039,26.345680570454903,1587.8555000000001,1641.3849934837947,1534.3260065162056
2024-04-15,600519,1528.69,1566.66,1569.29,1528.66,35818,5960815532.0,2.66,2.55,38.95,0.29,1546.7220000000002,1572.2,1585.673,1567.7346666666667,1568.25853569944,1577.8915010493674,-9.632965349927417,-2.629582858747926,-7.003382491179491,42.525162038256845,1585.673,1638.9062706016396,1532.4397293983604
2024-04-16,600519,1559.17,1563.68,1573.24,1552.68,26266,4382796962.0,1.31,-0.19,-2.98,0.21,1548.278,1568.91,1583.2985,1568.125166666667,1567.5541455918337,1576.8387972679327,-9.284651676098974,-3.9605966222181364,-5.324055053880838,44.731445041849106,1583.2985,1635.9768492028447,1530.6201507971555
2024-04-17,600519,1561.68,1560.68,1568.88,1551.68,24819,4130322018.0,1.1,-0.19,-3.0,0.2,1552.0819999999999,1563.477,1581.2355,1568.5241666666666,1566.4965847315518,1575.64184932216,-9.145264590608122,-4.997530215896134,-4.1477343747119875,37.03794519708207,1581.2355,1634.071416601852,1528.399583398148
2024-04-18,600519,1552.69,1564.46,1576.66,1551.86,26568,4445487745.0,1.59,0.24,3.78,0.21,1556.6380000000001,1559.1560000000002,1579.3735,1569.0371666666667,1566.183264003621,1574.8135641871852,-8.630300183564259,-5.724084209429759,-2.9062159741344997,40.47408901777831,1579.3735,1631.795959339083,1526.9510406609168
2024-04-19,600519,1554.46,1540.32,1562.18,1534.96,23500,3879233242.0,1.74,-1.54,-24.14,0.19,1559.16,1552.309,1576.2255,1569.1573333333333,1562.204300310756,1572.258485358505,-10.054185047748888,-6.590104377093585,-3.464080670655303,34.90006589062156,1576.2255,1630.1435659012006,1522.3074340987994
2024-04-22,600519,1547.68,1568.74,1572.56,1538.68,29951,5001684635.0,2.2,1.85,28.42,0.24,1559.576,1553.149,1574.5285,1570.7916666666667,1563.2097925706398,1571.9978568134306,-8.788064242790824,-7.029696350233033,-1.758367892557791,43.34862385321103,1574.5285,1627.0593844595742,1521.9976155404256
2024-04-23,600519,1568.68,1585.96,1588.68,1568.68,24980,4217855279.0,1.27,1.1,17.22,0.2,1564.032,1556.155,1574.075,1572.1485,1566.709824482849,1573.0320896420653,-6.322265159216386,-6.888210112029704,0.565944952813318,43.019176238765816,1574.075,1626.0139319550515,1522.1360680449486
2024-04-24,600519,1590.66,1587.28,1593.59,1577.01,17086,2893555635.0,1.05,0.08,1.32,0.14,1569.3519999999999,1560.717,1574.3045,1573.125166666667,1569.8744668701029,1574.0874904093198,-4.21302353921692,-6.353172797467147,2.1401492582502275,44.95421925266021,1574.3045,1626.4438890804647,1522.1651109195352
2024-04-25,600519,1584.01,1586.72,1589.28,1575.93,14476,2447183879.0,0.84,-0.04,-0.56,0.12,1573.8039999999999,1565.221,1573.492,1573.9758333333334,1572.4660873516254,1575.0232318604812,-2.5571445088557994,-5.593967139744878,3.0368226308890787,44.52330140453622,1573.492,1624.2383892830123,1522.7456107169876
2024-04-26,600519,1587.68,1603.11,1607.68,1587.66,30996,5290248521.0,1.26,1.03,16.39,0.25,1586.3619999999999,1572.761,1573.9135,1575.4830000000002,1577.1805354513754,1577.1037332041492,0.07680224722616913,-4.459813262350669,4.536615509576838,62.62173168860298,1573.9135,1625.5334114071702,1522.29358859283
2024-04-29,600519,1590.63,1597.68,1621.68,1587.5,41332,7072096590.0,2.13,-0.34,-5.43,0.33,1592.15,1575.863,1574.0315,1576.783,1580.3342992280868,1578.627901114953,1.7063981131339006,-3.2265709872537554,4.9329691003876555,62.2579509447248,1574.0315,1625.8677853099712,1522.195214690029
2024-04-30,600519,1598.69,1598.68,1623.56,1598.68,30760,5273902374.0,1.56,0.06,1.0,0.24,1594.694,1579.363,1574.1365,1577.8996666666667,1583.1567147314581,1580.1132417731046,3.0434729583535045,-1.9725621981323036,5.016035156485808,68.13844000508972,1574.1365,1626.1732187261973,1522.0997812738028
2024-05-06,600519,1627.65,1653.88,1658.68,1620.68,59909,10504351712.0,2.38,3.45,55.2,0.48,1608.0140000000001,1588.683,1576.0800000000002,1579.9476666666667,1594.0372201573875,1585.577446086208,8.459774071179481,0.11390505573005338,8.345869015449427,76.41740440760974,1576.0800000000002,1636.734299799853,1515.4257002001473
2024-05-07,600519,1659.47,1663.68,1671.48,1650.36,24925,4413196426.0,1.28,0.59,9.8,0.2,1623.4060000000002,1598.605,1578.8805,1581.9476666666667,1604.751493979328,1591.3628204501927,13.388673529135303,2.7688587504111037,10.6198147787242,82.65526682357466,1578.8805,1649.9534207371219,1507.807579262878
2024-05-08,600519,1663.37,1657.65,1663.65,1649.35,14769,2603293863.0,0.86,-0.36,-6.03,0.12,1634.314,1610.3380000000002,1581.3235,1584.4638333333335,1612.889725674816,1596.2729818983266,16.61674377648933,5.538435755626749,11.078308020862579,75.95709476807215,1581.3235,1659.7080463488549,1502.938953651145
2024-05-09,600519,1651.68,1649.68,1658.66,1643.68,22387,3929804849.0,0.9,-0.48,-7.97,0.18,1644.714,1618.432,1585.7905,1586.9820000000002,1618.5497678786905,1600.2290573132655,18.320710565425088,8.094890717586416,10.225819847838672,73.85443248640856,1585.7905,1669.1639443333129,1502.4170556666872
2024-05-10,600519,1654.78,1632.66,1661.56,1627.67,26207,4571398242.0,2.05,-1.03,-17.02,0.21,1651.5099999999998,1623.102,1589.6285,1589.1311666666666,1620.7205728204303,1602.6313493641346,18.089223456295713,10.093757265328277,7.995466190967436,68.52480955322218,1589.6285,1674.265901779592,1504.991098220408
2024-05-13,600519,1625.7,1599.68,1626.34,1594.9,37662,6435415674.0,1.93,-2.02,-32.98,0.3,1640.67,1624.342,1592.5295,1590.9645000000003,1617.4835616172873,1602.4127308927173,15.070830724569987,11.089171957176621,3.981658767393366,57.879899767317,1592.5295,1674.168391783139,1510.8906082168612
2024-05-14,600519,1599.67,1595.66,1606.95,1593.69,21274,3623282672.0,0.83,-0.25,-4.02,0.17,1627.066,1625.236,1595.2285,1592.1640000000002,1614.126090599243,1601.912528604368,12.213561994875135,11.314049964716325,0.8995120301588102,63.60641227380022,1595.2285,1673.2794313542336,1517.1775686457663
2024-05-15,600519,1596.26,1593.68,1601.68,1592.27,15739,2677203002.0,0.59,-0.12,-1.98,0.13,1614.2720000000002,1624.2930000000001,1598.527,1592.5639999999999,1610.9805381993597,1601.302711670711,9.677826528648666,10.986805277502794,-1.3089787488541287,57.048383450146986,1598.527,1669.849544483348,1527.2044555166522
2024-05-16,600519,1598.68,1598.18,1603.56,1583.68,29680,5048754769.0,1.25,0.28,4.5,0.24,1603.9720000000002,1624.343,1600.103,1592.4558333333334,1609.0112246302274,1601.0713996951029,7.939824935124534,10.377409209027144,-2.43758427390261,53.72107186358102,1600.103,1669.835933577065,1530.3700664229352
2024-05-17,600519,1593.69,1608.68,1610.26,1593.68,28924,4936920634.0,1.04,0.66,10.5,0.23,1599.176,1625.343,1602.353,1592.6058333333335,1608.9602669948079,1601.6349997176876,7.325267277120247,9.766980822645765,-2.441713545525518,56.17141538816476,1602.353,1670.0106826773085,1534.6953173226916
2024-05-20,600519,1611.67,1602.68,1626.67,1601.79,31426,5401389335.0,1.55,-0.37,-6.0,0.25,1599.776,1620.2230000000002,1604.453,1592.832,1607.9940720725297,1601.712407146007,6.281664926522581,9.069917643421128,-2.7882527168985476,54.462588077396276,1604.453,1669.2095280106973,1539.6964719893026
2024-05-21,600519,1601.68,1598.68,1603.41,1591.84,16293,2776847499.0,0.72,-0.25,-4.0,0.13,1600.38,1613.7230000000002,1606.1640000000002,1593.4153333333334,1606.561137907525,1601.487784394451,5.073353513074153,8.270604817351733,-3.1972513042775805,48.669110136393726,1606.1640000000002,1668.2234361627818,1544.1045638372186
2024-05-22,600519,1596.68,1591.39,1603.64,1584.68,20286,3443977767.0,1.19,-0.46,-7.29,0.16,1599.922,1607.0970000000002,1608.7175000000002,1593.0828333333334,1604.227116690983,1600.7398003652324,3.4873163257504984,7.3139471190314875,-3.826630793280989,48.13120209162756,1608.7175000000002,1663.0971714629773,1554.3378285370231
